date,open,pre_close,high,low,volume,amount,turnover_ratio,OT
2018/7/17,3466.42,3472.09,3467.19,3420.97,1903340304,85720563712,0.19,3449.38
2018/7/18,3456.61,3449.38,3479.26,3430.16,-1936901592,88556871680,0.21,3431.32
2018/7/19,3444.8,3431.32,3466.51,3417.96,-1742162992,88804909056,0.21,3428.34
2018/7/20,3426.46,3428.34,3505.93,3398.95,1608538108,1.22197E+11,0.32,3492.89
2018/7/23,3471.86,3492.89,3527.53,3464.65,-981239288,1.43961E+11,0.37,3525.75
2018/7/24,3530.66,3525.75,3596.51,3530.66,-1488625684,1.77449E+11,0.49,3581.71
2018/7/25,3589.51,3581.71,3589.98,3566.31,1085915408,1.12177E+11,0.3,3577.75
2018/7/26,3583.32,3577.75,3593.92,3528.64,445029608,1.05577E+11,0.28,3536.25
2018/7/27,3533.77,3536.25,3545.41,3512.7,-1572124192,81192173568,0.22,3521.23
2018/7/30,3520.85,3521.23,3550.9,3489.55,-378235092,96183099392,0.26,3515.08
2018/7/31,3510.47,3515.08,3528.15,3493.15,-1791852792,80022151168,0.21,3517.66
2018/8/1,3530.03,3517.66,3543.61,3446.78,444927208,1.07477E+11,0.28,3447.39
2018/8/2,3434.35,3447.39,3434.35,3322.1,1540938208,1.22401E+11,0.32,3370.96
2018/8/3,3366.66,3370.96,3381.34,3315.2,-1510243592,91395985408,0.22,3315.28
2018/8/6,3312.82,3315.28,3344.25,3257.69,-792426192,97517989888,0.24,3273.27
2018/8/7,3284.98,3273.27,3368.96,3263.5,588457008,1.07512E+11,0.29,3368.87
2018/8/8,3362.15,3368.87,3368.16,3311.77,-661448192,90958913536,0.25,3314.51
2018/8/9,3303.48,3314.51,3408.39,3299.62,605822708,1.08802E+11,0.29,3397.53
2018/8/10,3398.41,3397.53,3424.04,3380.57,-1693204692,85634523136,0.22,3405.02
2018/8/13,3369.98,3405.02,3396.19,3336.7,-970781392,90869288960,0.24,3390.34
2018/8/14,3386.48,3390.34,3391.73,3356.61,1770177304,72121991168,0.19,3372.91
2018/8/15,3371.96,3372.91,3372.14,3288.71,-1772529192,83402194944,0.21,3291.98
2018/8/16,3251.86,3291.98,3315.2,3231.56,-935197992,89269174272,0.24,3276.73
2018/8/17,3305.9,3276.73,3311.57,3224.1,-1850393392,84452454400,0.21,3229.62
2018/8/20,3238.22,3229.62,3267.25,3209.01,-1499511792,88963383296,0.22,3267.25
2018/8/21,3271.84,3267.25,3331.71,3270.03,-1069376292,97925840896,0.24,3326.65
2018/8/22,3328.97,3326.65,3328.97,3299.39,783738404,66548536320,0.16,3307.95
2018/8/23,3308.46,3307.95,3336.11,3285.81,1816266204,80212787200,0.19,3320.03
2018/8/24,3308.48,3320.03,3353.04,3291.87,2081622504,77197848576,0.2,3325.33
2018/8/27,3339.39,3325.33,3406.57,3339.26,837073708,1.14961E+11,0.3,3406.57
2018/8/28,3408.15,3406.57,3416.59,3388.81,-1045398292,94945951744,0.24,3400.17
2018/8/29,3393.05,3400.17,3398.71,3377.12,-1887894292,79072301056,0.21,3386.57
2018/8/30,3385.81,3386.57,3402.56,3349.47,-1751405592,80226054144,0.21,3351.09
2018/8/31,3333.38,3351.09,3356.58,3310.87,-969371692,96091893760,0.24,3334.5
2018/9/3,3320.69,3334.5,3325.61,3291.78,-1946949092,81305681920,0.21,3321.82
2018/9/4,3324.19,3321.82,3370.96,3307.96,-1881053992,85892034560,0.21,3363.9
2018/9/5,3349.7,3363.9,3354.2,3298.14,2135221504,80656674816,0.2,3298.14
2018/9/6,3286.66,3298.14,3311.5,3253.76,1935061504,79373139968,0.2,3262.88
2018/9/7,3273.89,3262.88,3316.61,3253.73,2099773404,81263439872,0.2,3277.64
2018/9/10,3271.38,3277.64,3277.88,3227.85,2086737904,76175581184,0.2,3230.07
2018/9/11,3229.71,3230.07,3245.62,3209.11,1554163204,67722118912,0.18,3224.21
2018/9/12,3216.99,3224.21,3225.6,3194.98,1167822604,68887019520,0.17,3202.02
2018/9/13,3239.69,3202.02,3249.59,3191.4,-1860901892,85887963136,0.21,3236.57
2018/9/14,3242.83,3236.57,3254.1,3227.94,1718096604,76481212416,0.19,3242.09
2018/9/17,3224.93,3242.09,3230.79,3200.51,930987504,60650940928,0.16,3204.92
2018/9/18,3193.64,3204.92,3270.11,3193.64,-1547431192,83899138048,0.22,3269.43
2018/9/19,3262,3269.43,3335.99,3258.31,327131908,1.09395E+11,0.28,3312.48
2018/9/20,3314.88,3312.48,3332.31,3303.07,-2133828892,76660846592,0.2,3310.13
2018/9/21,3320.7,3310.13,3410.49,3307.77,-2043301388,1.23573E+11,0.34,3410.49
2018/9/25,3375.97,3410.49,3394.38,3367.03,-1684465392,82870030336,0.22,3379.8
2018/9/26,3388.56,3379.8,3448.26,3383.24,727399708,1.19113E+11,0.29,3417.24
2018/9/27,3415.95,3417.24,3423.71,3394.73,-1613410592,87573299200,0.22,3403.59
2018/9/28,3409.96,3403.59,3444.99,3404.7,-152158992,94880276480,0.26,3438.86
2018/10/8,3361.56,3438.86,3364.46,3285.25,1198964208,1.14164E+11,0.31,3290.9
2018/10/9,3290.17,3290.9,3309.8,3276.13,-1917607192,78372941824,0.21,3288.69
2018/10/10,3295.43,3288.69,3315.73,3256.58,-2140651792,79166808064,0.2,3281.6
2018/10/11,3179.54,3281.6,3209.52,3099.04,-790767588,1.25723E+11,0.38,3124.11
2018/10/12,3123.37,3124.11,3184.12,3094.97,1271180508,1.04423E+11,0.31,3170.73
2018/10/15,3173.85,3170.73,3183.13,3120.23,-1629432292,77137698816,0.22,3126.45
2018/10/16,3128.58,3126.45,3166.09,3089.37,-1701162492,75206471680,0.22,3100.97
2018/10/17,3140.68,3100.97,3149.13,3062.55,-906220792,86132695040,0.24,3118.25
2018/10/18,3097.79,3118.25,3097.79,3043.38,-1212737792,79703732224,0.23,3044.39
2018/10/19,3017.75,3044.39,3137.75,3009.5,1294034208,1.10951E+11,0.31,3134.95
2018/10/22,3159.56,3134.95,3297.38,3159.56,1701302512,1.70651E+11,0.46,3270.27
2018/10/23,3273.13,3270.27,3276.02,3163.57,-783577888,1.42589E+11,0.38,3183.43
2018/10/24,3169.46,3183.43,3245.4,3164.29,-1793927388,1.20954E+11,0.35,3188.2
2018/10/25,3107.84,3188.2,3197.32,3099.89,2105247208,1.13292E+11,0.34,3194.31
2018/10/26,3204.28,3194.31,3218.1,3151.92,1540000808,1.0607E+11,0.32,3173.64
2018/10/29,3157.49,3173.64,3158.81,3062.58,594044408,1.08479E+11,0.29,3076.89
2018/10/30,3061.93,3076.89,3146.63,3050.77,-1277891888,1.31767E+11,0.36,3110.26
2018/10/31,3116.66,3110.26,3168.92,3106.03,-1764156388,1.171E+11,0.35,3153.82
2018/11/1,3185.2,3153.82,3217.8,3173.1,380436012,1.45919E+11,0.42,3177.03
2018/11/2,3258.61,3177.03,3290.25,3222.44,-1833258784,1.78341E+11,0.48,3290.25
2018/11/5,3269.47,3290.25,3279.88,3230.36,-1914233588,1.23631E+11,0.34,3262.84
2018/11/6,3254.98,3262.84,3254.98,3213.9,-203020792,91703898112,0.26,3243.15
2018/11/7,3243.88,3243.15,3270.5,3218.42,571618308,1.01815E+11,0.29,3221.91
2018/11/8,3251.73,3221.91,3253.57,3207.71,-948480492,85221666816,0.24,3212.77
2018/11/9,3193.3,3212.77,3193.3,3166.31,-161658392,88194191360,0.26,3167.44
2018/11/12,3160.25,3167.44,3206.51,3152.44,216304608,97363050496,0.28,3205.14
2018/11/13,3164.92,3205.14,3254.77,3161.1,-235555588,1.25603E+11,0.4,3237.38
2018/11/14,3233.64,3237.38,3239.24,3200.23,-1504036088,1.05387E+11,0.36,3204.94
2018/11/15,3201.28,3204.94,3242.38,3198.78,1265946408,1.00119E+11,0.31,3242.37
2018/11/16,3242.88,3242.37,3282.39,3223.72,-197218288,1.3538E+11,0.4,3257.67
2018/11/19,3258.79,3257.67,3294.6,3251.07,-1289242388,1.23189E+11,0.36,3294.6
2018/11/20,3268.08,3294.6,3278.78,3213.68,-1948786388,1.14155E+11,0.34,3218.41
2018/11/21,3187.1,3218.41,3230.26,3185.24,-177961992,87813275648,0.26,3226.49
2018/11/22,3232.97,3226.49,3235.45,3199.7,-2080105492,70083371008,0.2,3214.43
2018/11/23,3208.59,3214.43,3212.2,3139.39,-126109192,86864945152,0.27,3143.48
2018/11/26,3148.67,3143.48,3169.44,3131.64,1642946804,61899479552,0.19,3141.24
2018/11/27,3152.77,3141.24,3162.01,3126.29,1245815804,61946260992,0.17,3137.24
2018/11/28,3137.75,3137.24,3179.41,3126.62,-1101738992,77620551680,0.23,3178.93
2018/11/29,3198.83,3178.93,3204.86,3137.65,-540088092,86927613952,0.25,3137.65
2018/11/30,3136.2,3137.65,3175.15,3132.42,-1497830192,77297696768,0.22,3172.69
2018/12/3,3260.69,3172.69,3273.64,3228.36,-736186088,1.45828E+11,0.38,3260.95
2018/12/4,3256.23,3260.95,3267.94,3243.7,-648430592,90543599616,0.25,3267.71
2018/12/5,3224.26,3267.71,3266.9,3219.98,-974629392,90909093888,0.24,3252
